"Story","Title","Result","Date","Stability","Duration (s)"
"User CRUD test","Update the user information and verify the updated information","SUCCESS","2022-06-21T22:33:33.793+01:00[Europe/London]","0.0","0.14"
"User CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2022-06-21T22:33:33.931+01:00[Europe/London]","0.0","0.13"
